lat,lon,precip_1d,precip_3d,precip_7d,elevation,slope,hand,dist_to_river,actual_flood,flood_risk,risk_class,synthetic
50.62,6.85,44.069682212049194,80.89153385680686,94.25152513994917,420.0188683190306,5.977647162782596,340.0188683190306,10378.499999999867,0,0.5044005440547319,high,True
50.62,6.856349206349206,43.32668039041794,81.72692046574068,100.57688816392223,409.7511255456831,4.256771485805676,329.7511255456831,10303.346189389138,0,0.5221984115918844,high,True
50.62,6.862698412698412,39.21014974567436,74.06717684967265,91.87551393814437,412.1075201605367,6.782878073592776,332.1075201605367,10228.939291112973,0,0.470700225498177,moderate,True
50.62,6.869047619047619,43.709047119183836,82.7273225502292,96.13986252303803,408.1924139288218,7.370356728646611,328.1924139288218,10156.018794354537,0,0.49700415099872725,moderate,True
50.62,6.875396825396825,42.74258927348319,79.4866761988093,92.25426633792938,392.12417229597924,3.741950304796239,312.12417229597924,10085.309415771804,0,0.5150621393424119,high,True
50.62,6.881746031746031,45.34206768725603,82.41676899929787,98.2101398230047,390.43280445369646,4.653733205063104,310.43280445369646,10017.513896936754,0,0.5171852517892507,high,True
50.62,6.888095238095238,43.84781382952681,79.2035833429376,93.18109802706456,392.1196035934707,6.912042320995166,312.1196035934707,9953.306020173408,0,0.4936164930124488,moderate,True
50.62,6.894444444444444,44.42502469181922,78.92123359813107,94.44009820332111,386.5988674580858,6.394464997604642,306.5988674580858,9893.323912208323,0,0.4970907285444469,moderate,True
50.62,6.90079365079365,42.25812347572453,76.83173835306148,90.55311210279326,384.3732149382847,6.45473062827733,304.3732149382847,9838.163702178832,0,0.4836604298755883,moderate,True
50.62,6.907142857142857,42.16894970010946,79.42688939271136,92.85450159298239,377.95454759050625,4.3110831164141885,297.95454759050625,9788.373597032823,0,0.5116065885766666,high,True
50.62,6.913492063492063,43.34230250680813,80.94562562329162,98.67604955559676,382.18562765098346,6.178310428880785,302.18562765098346,9744.448433205442,0,0.5074873133630582,high,True
50.62,6.919841269841269,42.86286046731359,80.83725700909741,98.54069322645432,379.4773193338344,5.629146842212977,299.4773193338344,9706.82475870921,0,0.5110130476117011,high,True
50.62,6.926190476190476,45.42980542998084,81.69864391551896,93.35576060038173,374.74347893421145,5.919854454862725,294.74347893421145,9675.87649452294,0,0.5038900642346301,high,True
